8,4,2,0,1,251.74561527092,280.618890142068,299.913504789583,200,500,-100,454.981004323345,493.882370379288,516.405876553617,480.792045546696,716.065589035861,176.293584960513,2,3,2,602.68192794174,43.0082581192255,123.121192445979,195.041149971075,326.877080369741,447.454724903218,474.354107188992,749.059335025959,47.4246247299016,22.1480874251574,35.5888659041375,35.0968432426453,41.8961678957567,15.9389040060341
8,1,2,1,2,277.114814985543,295.805132808164,338.210285222158,-100,500,200,481.933067576028,505.017399254721,559.452571473084,102.102770283818,766.499024443328,461.050156760029,2,2,2,590.038108481094,44.7152250632644,98.8366706995293,181.27134591341,326.358432113193,401.838106405921,465.01209102571,749.611951690167,48.9060476887971,47.8064965829253,28.4640827216208,10.8569252397865,44.4938046811149,67.7720904443413
6,4,1,1,2,259.694683784619,327.932684659027,336.526819574647,200,-100,500,467.680747534614,544.242254106794,543.838427814189,421.760292211547,177.674040780403,731.456992705353,2,2,3,611.139539899305,57.3376173526049,83.6257347138599,239.117800071836,265.133631485514,423.080928740092,463.921672850847,742.87694322411,59.1338417399675,12.1613487787545,28.1518523581326,18.5364764044061,12.1254200860858,21.9139845576137
5,1,2,1,1,257.572175352834,279.955621878617,332.920651417226,-100,200,500,481.839037234895,497.781852665357,547.322941415478,124.942986830138,460.58904340025,721.179647999816,3,3,1,609.980480568483,61.9506834167987,133.128200913779,222.44431420695,348.957609105855,418.128560180776,492.810134543106,746.271191700362,65.8031587023288,47.5591110531241,32.970095295459,21.3046642160043,21.0736045800149,35.9752183035016
4,1,1,1,2,294.268282316625,320.478267641738,347.777737514116,200,-100,500,505.786159518175,522.75324549526,556.345910916571,494.491490069777,180.195931647904,713.085486926138,3,2,3,588.862521015108,38.1284926924855,109.386717411689,227.858178061433,348.73896248173,381.684695300646,532.833504863083,652.711890777573,23.8115667039528,62.0273148082197,56.0100384708494,50.3449310781434,50.3464263258502,19.3567285686731
3,1,2,0,1,257.761217327788,322.822869499214,338.8242501067,500,-100,200,471.196165340953,546.450307378545,565.476113720797,768.580883252434,169.327500439249,495.862360834144,2,2,2,605.719577083364,30.0925211235881,103.494423185475,215.619464265183,336.400695517659,435.176826943643,480.664265016094,714.47779124137,28.4512875089422,58.8954762136564,51.4070143643767,64.5087449718267,24.3103212490678,51.6374112293124
1,2,2,0,2,264.364965329878,303.725852980278,347.582337143831,500,200,-100,465.738764945418,530.931875833776,559.544172757305,780.682451091707,455.547092063352,186.532862344757,3,3,2,611.001291824505,52.9238470550627,81.1536972178146,166.604100051336,303.726561297663,361.466544331051,512.076888023876,676.281442842446,56.9208531873301,47.7974918624386,17.7904962282628,29.0726861311123,30.1419796841219,50.7013180758804
5,1,1,0,2,275.800378224812,324.575249897316,344.38497016672,-100,200,500,483.616335140541,539.248028995935,570.458716512658,161.586278537288,404.324617190287,717.761718295515,3,3,2,604.852938735858,36.4204264804721,128.041887842119,189.645112631842,284.641561470926,447.872744151391,532.76243461296,700.120142963715,45.1131950551644,34.4455454777926,24.8767296830192,62.1833292534575,25.9641108242795,48.5628457041457
6,1,1,1,2,285.638084728271,303.532178746536,338.296821340919,200,-100,500,488.592921129894,514.60179627873,564.323765444569,470.811980869621,198.690788703971,799.805492488667,3,3,1,597.328665135428,50.679565295577,107.456512562931,183.776036673225,349.804774275981,410.852539283223,510.570227960125,659.906414407305,50.4701066855341,38.5617466084659,25.3219917463139,56.791869038716,10.5074606603011,62.6543007930741
7,4,1,0,2,290.608067717403,302.872767136432,316.890846472234,500,200,-100,496.561788588297,520.404348901939,535.505827653687,781.591486046091,407.601418113336,185.581702389754,2,1,2,588.284504134208,37.4023414868861,57.8617551829666,215.758286952041,266.607887577266,402.682826993987,498.544487659819,727.425929205492,66.9322840683162,28.4189201472327,23.5337731102481,19.2322285845876,29.5751932123676,27.6454815547913
5,1,2,0,2,312.54708354827,312.850606068969,331.621266854927,200,500,-100,524.767727584112,519.094702559523,550.046547546517,407.956480770372,775.133432378061,168.396984785795,2,3,2,591.955153793097,34.6431321278214,83.6568222148344,153.72685212642,306.271491455846,350.675672711805,504.592220694758,703.799795499071,25.8834825875238,45.9607137180865,11.7382560810074,26.8788992753252,39.2579774232581,58.3911297377199
